ticker,market,index_name,valid_from,valid_to
1SXP.DE,germany,MDAX,2024-09-23,
1SXP.DE,germany,MDAX,2025-03-24,
1SXP.DE,germany,SDAX,2024-09-23,
1SXP.DE,germany,SDAX,2025-03-24,
1U1.DE,germany,MDAX,2018-09-24,
1U1.DE,germany,SDAX,2025-09-22,
1U1.DE,germany,TecDAX,2026-06-22,
8TRA.DE,germany,MDAX,2024-06-24,
8TRA.DE,germany,SDAX,2024-06-24,
AAD.DE,germany,SDAX,2025-12-22,
ADN1.DE,germany,SDAX,2026-06-22,
ADS.DE,germany,MDAX,1996-03-18,
AFX.DE,germany,MDAX,2026-03-23,
AFX.DE,germany,SDAX,2026-03-23,
AG1.DE,germany,MDAX,2024-12-23,
AG1.DE,germany,SDAX,2024-12-23,
AIR.DE,germany,DAX,2021-09-20,
AIR.DE,germany,MDAX,2003-03-24,
AOX.DE,germany,MDAX,2016-03-21,
AOX.DE,germany,MDAX,2018-09-24,
AT1.DE,germany,MDAX,2023-12-18,
B4B.DE,germany,DAX,1996-07-22,
BBB.DE,germany,MDAX,2002-03-18,
BBB.DE,germany,SDAX,1999-06-21,2000-03-20
BBB.DE,germany,SDAX,2005-09-19,
BC8.DE,germany,MDAX,2018-09-24,
BC8.DE,germany,TecDAX,2004-09-20,
BFSA.DE,germany,MDAX,2023-12-18,
BFSA.DE,germany,MDAX,2024-12-23,
BFSA.DE,germany,SDAX,2024-12-23,
BNR.DE,germany,DAX,2021-09-20,
BNR.DE,germany,MDAX,2010-06-21,
BSL.DE,germany,SDAX,2023-09-18,
BVB.DE,germany,SDAX,2026-06-22,
BYW6.DE,germany,SDAX,2024-09-23,
CBK.DE,germany,MDAX,2018-09-24,
CON.DE,germany,DAX,2003-09-22,
DB1.DE,germany,DAX,2017-04-04,
DCX.DE,germany,DAX,1998-12-21,
DEQ.DE,germany,MDAX,2004-09-20,
DEQ.DE,germany,SDAX,2003-07-14,
DEQ.DE,germany,SDAX,2024-09-23,
DEZ.DE,germany,MDAX,2026-03-23,
DEZ.DE,germany,SDAX,2026-03-23,
DOU.DE,germany,SDAX,2024-06-24,
DRW3.DE,germany,MDAX,2003-03-24,
DUE.DE,germany,MDAX,2003-03-24,
DUE.DE,germany,MDAX,2023-12-18,
DWS.DE,germany,MDAX,2025-03-24,
DWS.DE,germany,SDAX,2025-03-24,
ECV.DE,germany,MDAX,2021-09-20,
ECV.DE,germany,MDAX,2024-09-23,
ECV.DE,germany,SDAX,2024-09-23,
EKT.DE,germany,TecDAX,2024-12-23,
ELG.DE,germany,MDAX,2026-06-22,
ELG.DE,germany,SDAX,2026-06-22,
EOAN.DE,germany,DAX,2000-06-19,
EUZ.DE,germany,TecDAX,2024-03-18,
EVT.DE,germany,MDAX,2018-09-24,
EVT.DE,germany,MDAX,2024-09-23,
EVT.DE,germany,MDAX,2024-12-23,
EVT.DE,germany,SDAX,2024-09-23,
EVT.DE,germany,SDAX,2024-12-23,
FLM.DE,germany,MDAX,2003-03-24,2006-12-18
FLM.DE,germany,MDAX,2025-09-22,
FLM.DE,germany,SDAX,2025-09-22,
FLM.DE,germany,SDAX,2026-03-23,
FNTN.DE,germany,MDAX,2018-09-24,
FTK.DE,germany,MDAX,2025-03-24,
FTK.DE,germany,SDAX,2025-03-24,
FYB.DE,germany,SDAX,2024-12-23,
G1A.DE,germany,MDAX,2025-09-22,
G24.DE,germany,MDAX,2025-09-22,
GBF.DE,germany,MDAX,2024-03-18,
GBF.DE,germany,SDAX,2024-03-18,
GLJ.DE,germany,SDAX,2021-06-21,
GXI.DE,germany,MDAX,2025-12-22,
GXI.DE,germany,SDAX,2025-12-22,
HDM.DE,germany,SDAX,2020-03-23,
HOB.DE,germany,MDAX,2021-09-20,
HOB.DE,germany,MDAX,2026-06-22,
HOT.DE,germany,DAX,2021-09-20,
HOT.DE,germany,MDAX,2025-12-22,
HOT.DE,germany,SDAX,2025-12-22,
HYQ.DE,germany,MDAX,2024-09-23,
HYQ.DE,germany,SDAX,2015-12-21,
HYQ.DE,germany,SDAX,2024-09-23,
IINS.DE,germany,SDAX,2002-03-18,
INI.DE,germany,SDAX,2026-03-23,
IOS.DE,germany,SDAX,2023-09-18,
IOS.DE,germany,SDAX,2025-06-23,
IOS.DE,germany,TecDAX,2024-12-23,
JEN.DE,germany,MDAX,2026-03-23,
JEN.DE,germany,SDAX,2025-06-23,
JUN3.DE,germany,MDAX,2026-06-22,
JUN3.DE,germany,SDAX,2026-06-22,
KRN.DE,germany,MDAX,2023-12-18,
KSB3.DE,germany,SDAX,2001-06-18,
LPKF.DE,germany,SDAX,2025-12-22,
LPKF.DE,germany,SDAX,2026-06-22,
M5Z.DE,germany,TecDAX,2014-03-24,
MBB.DE,germany,SDAX,2025-05-09,
MEDIAG.DE,germany,SDAX,2025-06-23,
MLP.DE,germany,SDAX,2024-03-18,
MOR.DE,germany,MDAX,2018-09-24,
MOR.DE,germany,MDAX,2024-03-18,
MOR.DE,germany,MDAX,2024-06-24,
MOR.DE,germany,SDAX,2024-03-18,
MUX.DE,germany,SDAX,2025-05-09,
NA9.DE,germany,SDAX,2025-05-09,
NA9.DE,germany,TecDAX,2026-06-22,
NCH2.DE,germany,SDAX,2023-09-18,
NDX1.DE,germany,MDAX,2021-09-20,
NEM.DE,germany,MDAX,2018-09-24,
NXU.DE,germany,SDAX,2024-12-23,
NXU.DE,germany,TecDAX,2024-12-23,
O2D.DE,germany,MDAX,2018-09-24,
O2D.DE,germany,SDAX,2021-03-22,
OTB.DE,germany,SDAX,2025-12-22,
P911.DE,germany,MDAX,2025-09-22,
PAH3.DE,germany,DAX,2021-09-20,
PAH3.DE,germany,MDAX,2021-09-20,
PAH3.DE,germany,MDAX,2026-06-22,
PCZ.DE,germany,SDAX,2025-05-09,
PSAG.DE,germany,SDAX,2025-12-22,
PSM.DE,germany,MDAX,2023-12-18,
PUM.DE,germany,MDAX,1996-09-23,
QGEN.DE,germany,MDAX,2021-09-20,
RAA.DE,germany,MDAX,2024-03-18,
RDC.DE,germany,MDAX,2021-09-20,
RDC.DE,germany,MDAX,2026-06-22,
RDC.DE,germany,SDAX,2026-06-22,
RENK.DE,germany,MDAX,2025-03-24,
RENK.DE,germany,SDAX,2025-03-24,
S92.DE,germany,MDAX,2024-06-24,
S92.DE,germany,SDAX,2024-06-24,
S92.DE,germany,TecDAX,2024-12-23,
SAX.DE,germany,MDAX,2015-12-21,
SAX.DE,germany,MDAX,2026-06-22,
SAX.DE,germany,SDAX,2026-06-22,
SBS.DE,germany,SDAX,2025-05-09,
SDF.DE,germany,DAX,2008-09-22,
SGL.DE,germany,SDAX,2025-09-22,
SHL.DE,germany,MDAX,2021-09-20,
SIX2.DE,germany,MDAX,1998-09-21,
SIX2.DE,germany,MDAX,2024-06-24,
SIX2.DE,germany,SDAX,2024-06-24,
SMHN.DE,germany,MDAX,2026-06-22,
SMHN.DE,germany,SDAX,2026-06-22,
SMHN.DE,germany,TecDAX,2024-03-18,
SOW.DE,germany,MDAX,1999-09-20,
SOW.DE,germany,MDAX,2018-09-24,
SPG.DE,germany,SDAX,2024-12-23,
SRT3.DE,germany,MDAX,2021-09-20,
STM.DE,germany,MDAX,2024-12-23,
STM.DE,germany,SDAX,2024-12-23,
SY1.DE,germany,MDAX,2021-09-20,
SZG.DE,germany,MDAX,2026-03-23,
SZG.DE,germany,SDAX,2026-03-23,
TKA.DE,germany,DAX,1999-03-25,
TMV.DE,germany,MDAX,2026-03-23,
TMV.DE,germany,SDAX,2026-03-23,
TNIE.DE,germany,SDAX,2025-12-22,
TTK.DE,germany,SDAX,2024-12-23,
TUI1.DE,germany,MDAX,2024-06-24,
UTDI.DE,germany,SDAX,2023-09-18,
VBK.DE,germany,SDAX,2020-12-21,
VBK.DE,germany,SDAX,2025-06-23,
VBK.DE,germany,TecDAX,2024-03-18,
VTSC.DE,germany,MDAX,2024-03-18,
VTSC.DE,germany,SDAX,2024-03-18,
WAA.DE,germany,TecDAX,2026-06-22,
WAF.DE,germany,MDAX,2018-09-24,
WAF.DE,germany,MDAX,2025-03-24,
WAF.DE,germany,SDAX,2025-03-24,
WSU.DE,germany,SDAX,2002-12-23,
WUW.DE,germany,SDAX,2020-12-21,
WUW.DE,germany,SDAX,2024-06-24,
YSN.DE,germany,SDAX,2020-12-21,
ZAL.DE,germany,MDAX,2021-09-20,
