index_name,company_name,valid_from,valid_to
DAX,),2017-10-25,
DAX,Airbus SE,2021-09-20,
DAX,Allianz Deutsche Babcock MAN,1987-12-30,
DAX,BASF Deutsche Bank Mannesmann,1987-12-30,
DAX,BMW Henkel   Siemens,1987-12-30,
DAX,Bank* adidas-Salomon,1998-06-22,
DAX,Bay. Hypo-und Wechsel-,1998-06-22,
DAX,Bayer Deutsche Lufthansa Nixdorf,1987-12-30,
DAX,Bayer. Hypo- und Vereinsbank,1998-06-22,
DAX,Bayer. Hypo.- und Wechsel-Bank Dresdner Bank RWE,1987-12-30,
DAX,Bayerische Vereinsbank Feldmühle Nobel Schering,1987-12-30,
DAX,Brenntag SE,2021-09-20,
DAX,Commerzbank Hoechst Thyssen,1987-12-30,
DAX,Continental,2003-09-22,
DAX,Continental Karstadt Veba,1987-12-30,
DAX,Daimler-Benz Kaufhof Viag,1987-12-30,
DAX,DaimlerChrysler,1998-12-21,
DAX,Degussa,2000-12-18,
DAX,Degussa Linde Volkswagen,1987-12-30,
DAX,Degussa-Hüls,1999-03-22,2000-12-18
DAX,Deutsche Börse,2017-04-04,
DAX,Deutsche Börse (z. Umtausch,2016-07-18,2017-04-04
DAX,Deutsche Postbank Hannover Rückversicherung,2009-03-23,
DAX,Dr. Ing. h.c. F. Porsche VZOI Scout24,2025-09-22,
DAX,E.ON,2000-06-19,
DAX,HelloFresh SE,2021-09-20,
DAX,Hypo Real Estate Salzgitter,2008-12-22,
DAX,K+S,2008-09-22,
DAX,Merger / Spin-off,2026-06-22,
DAX,Metro,1996-07-22,
DAX,Metro Continental,2012-09-24,
DAX,Porsche Automobile Holding VZO,2021-09-20,
DAX,Preussag,1990-09-03,
DAX,Siemens Energy AG Hannover Rück SE,2022-03-21,
DAX,ThyssenKrupp,1999-03-25,
DAX,Vereinsbank Hypo Real Estate Holding,2005-12-19,
DAX,Viag* Infineon,2000-06-19,
DAX,announcement Deletion Addition,1987-12-30,
DAX,change,1987-12-30,
DAX,eingereichte Aktie),2016-07-18,2017-04-04
MDAX,(at the time of the introduction of HDAX®),1994-04-11,
MDAX,1+1 Drillisch AG,2018-09-24,
MDAX,AEG  DSL Holding KSB,1994-04-11,
MDAX,AG Stroeer SE,2015-12-21,
MDAX,AGIV Dürr LEIFHEIT,1994-04-11,
MDAX,AMB Aachen.u.Münchener Bet. FAG Kugelfischer G. Schäfer MOKSEL,1994-04-11,
MDAX,AMB Generali Gerresheimer,2008-12-22,
